WeaponID,WeaponType,Material,Rarity,AttackPower,Durability,Range,Weight
36,Spear,Carbon Fiber,Ancient,33,12,124,39.71
37,Shotgun,Bronze,Divine,301,59,2,25.31
38,Sword,Bronze,Rare,245,90,134,32.47
39,Bow,Mythril,Uncommon,368,40,280,17.84
40,Machine Gun,Graphene,Legendary,389,73,14,13.21
41,Laser Gun,Mythril,Ancient,261,49,72,4.26
42,Axe,Graphene,Divine,218,85,110,32.47
43,Whip,Obsidian,Epic,251,40,242,19.08
44,Blowgun,Mythril,Divine,410,2,234,21.67
45,Sword,Titanium,Mythical,365,87,184,0.94
46,Laser Gun,Composite,Mythical,168,6,280,20.31
47,Axe,Titanium,Uncommon,130,59,195,39.67
48,Plasma Gun,Iron,Ancient,264,13,263,44.53
49,Pistol,Steel,Ancient,398,56,109,49.62
50,Shotgun,Obsidian,Common,445,29,1,23.76
51,Dagger,Adamantium,Rare,14,47,241,16.42
52,Shotgun,Titanium,Legendary,118,85,228,12.14
53,Scythe,Titanium,Divine,168,20,115,24.37
54,Whip,Steel,Rare,181,41,115,45.4
55,Rifle,Mythril,Divine,205,6,80,8.4
56,Sword,Silver,Ancient,305,61,57,37.18
57,Plasma Gun,Mythril,Mythical,268,99,149,36.48
58,Throwing Star,Bronze,Common,375,64,269,29.54
59,Machine Gun,Bronze,Divine,312,25,104,39.68
60,Sniper Rifle,Plastic,Mythical,185,99,73,41.11
61,Shotgun,Steel,Rare,248,99,161,2.64
62,Mace,Plastic,Ancient,485,33,50,5.61
63,Rocket Launcher,Titanium,Common,405,74,291,44.95
64,Shotgun,Steel,Rare,375,60,68,10.43
65,Pistol,Plastic,Rare,185,23,92,3.37
66,Rifle,Iron,Rare,155,98,219,6.23
67,Dagger,Carbon Fiber,Legendary,268,71,215,48.46
68,Crossbow,Diamond,Epic,356,46,54,31.1
69,Plasma Gun,Reinforced Concrete,Common,415,65,288,35.54
70,Sniper Rifle,Diamond,Legendary,138,18,207,28.29
71,Scythe,Bronze,Epic,398,23,262,36.66
72,Spear,Graphene,Divine,375,12,142,14.05
73,Bow,Titanium,Divine,239,64,215,9.0
74,Rocket Launcher,Iron,Epic,289,49,146,28.62
75,Sling,Silver,Ancient,99,11,7,11.42
76,Throwing Star,Carbon Fiber,Mythical,118,40,252,42.14
77,Scythe,Gold,Divine,198,56,41,1.09
78,Plasma Gun,Titanium,Legendary,235,69,72,32.01
79,Dagger,Magnesium Alloy,Common,375,44,203,26.98
80,Spear,Carbon Fiber,Epic,138,98,158,29.5
81,Bow,Plastic,Uncommon,215,92,16,24.07
82,Blowgun,Bronze,Ancient,291,9,224,7.66
83,Bow,Mythril,Uncommon,28,75,289,48.84
84,Blowgun,Obsidian,Mythical,248,91,233,15.67
85,Rocket Launcher,Mythril,Divine,210,85,22,2.4
86,Machine Gun,Silver,Ancient,178,12,128,11.42
87,Crossbow,Obsidian,Epic,401,35,263,25.65
88,Grenade Launcher,Steel,Mythical,388,50,254,6.52
89,Shotgun,Wood,Common,445,9,75,16.73
90,Sling,Plastic,Common,315,34,213,4.23
91,Bazooka,Plastic,Mythical,485,52,154,34.48
92,Throwing Star,Reinforced Concrete,Common,195,6,41,40.13
93,Blowgun,Carbon Fiber,Common,385,35,17,34.61
94,Flail,Gold,Common,375,21,20,38.84
95,Hammer,Silver,Uncommon,398,85,215,29.24
96,Sniper Rifle,Graphene,Legendary,82,89,130,46.46
97,Rifle,Bronze,Uncommon,285,50,231,19.05
98,Axe,Steel,Common,462,50,245,11.08
99,Sword,Magnesium Alloy,Rare,192,79,243,8.71
100,Crossbow,Composite,Divine,112,84,12,6.01
101,Bow,Diamond,Uncommon,188,39,12,12.15
102,Pistol,Composite,Mythical,186,56,92,27.61
103,Pistol,Composite,Epic,225,97,216,27.42
104,Bow,Diamond,Common,185,62,42,16.71
105,Pistol,Silver,Divine,418,67,154,7.53
106,Flail,Composite,Rare,82,48,285,49.35
107,Plasma Gun,Bronze,Rare,62,29,123,18.84
108,Whip,Titanium,Uncommon,66,51,61,26.37
109,Dagger,Silver,Ancient,33,11,93,36.74
110,Scythe,Carbon Fiber,Ancient,418,67,84,14.07
111,Machine Gun,Mythril,Uncommon,62,95,5,12.14
112,Whip,Adamantium,Mythical,245,100,142,16.03
113,Sword,Wood,Legendary,185,97,278,33.83
114,Machine Gun,Composite,Uncommon,385,92,178,43.83
115,Machine Gun,Silver,Legendary,120,13,225,9.25
116,Shotgun,Plastic,Uncommon,415,22,40,38.87
117,Sniper Rifle,Plastic,Ancient,388,79,288,43.63
118,Laser Gun,Magnesium Alloy,Divine,198,13,261,25.98
119,Flail,Silver,Mythical,228,70,10,15.44
120,Plasma Gun,Steel,Common,385,91,222,3.37
121,Hammer,Graphene,Epic,241,96,297,13.29
122,Sling,Plastic,Rare,415,54,93,10.55
123,Crossbow,Graphene,Uncommon,315,75,242,4.36
124,Staff,Graphene,Common,465,93,224,33.12
125,Rocket Launcher,Reinforced Concrete,Mythical,272,25,246,34.72
126,Bow,Composite,Epic,98,60,264,43.44
127,Rocket Launcher,Titanium,Common,405,64,156,36.26
128,Throwing Star,Bronze,Divine,351,80,51,29.85
129,Laser Gun,Composite,Ancient,298,69,126,31.91
130,Flail,Plastic,Divine,355,61,193,20.36
131,Shotgun,Bronze,Divine,128,80,279,49.59
132,Spear,Bronze,Ancient,168,69,68,17.71
133,Mace,Bronze,Common,458,83,143,33.57
134,Machine Gun,Adamantium,Uncommon,61,72,16,11.37
135,Flail,Carbon Fiber,Rare,288,29,98,37.38
136,Rifle,Reinforced Concrete,Rare,315,32,51,3.28
137,Axe,Gold,Divine,248,50,7,19.87
138,Scythe,Steel,Mythical,125,85,213,31.94
139,Bow,Wood,Rare,255,75,164,33.36
140,Plasma Gun,Silver,Legendary,143,59,10,27.91
141,Sniper Rifle,Diamond,Mythical,318,79,256,3.63
142,Grenade Launcher,Silver,Uncommon,345,56,20,33.85
143,Rifle,Titanium,Legendary,415,82,266,45.02
144,Sniper Rifle,Titanium,Common,398,96,58,49.44
145,Shotgun,Gold,Legendary,192,69,6,3.51
146,Plasma Gun,Wood,Rare,185,21,214,35.64
147,Shotgun,Magnesium Alloy,Uncommon,175,53,66,15.4
148,Axe,Composite,Rare,65,2,51,22.83
149,Staff,Iron,Divine,298,34,66,17.44
150,Crossbow,Mythril,Common,368,83,185,18.23
151,Flail,Iron,Rare,138,25,174,40.2
152,Staff,Mythril,Uncommon,388,80,48,26.0
153,Sword,Reinforced Concrete,Ancient,212,21,223,23.86
154,Mace,Composite,Divine,358,7,44,38.87
155,Grenade Launcher,Mythril,Ancient,312,66,68,21.7
156,Flail,Plastic,Ancient,385,84,46,31.25
157,Axe,Wood,Ancient,185,18,182,31.76
158,Rocket Launcher,Obsidian,Epic,57,80,174,34.35
159,Bow,Plastic,Epic,425,48,242,27.12
160,Pistol,Mythril,Legendary,165,91,125,22.24
161,Staff,Carbon Fiber,Common,352,83,244,47.74
162,Pistol,Graphene,Mythical,137,100,59,48.46
163,Bazooka,Graphene,Epic,385,6,287,22.92
164,Pistol,Silver,Common,410,6,213,30.45
165,Shotgun,Reinforced Concrete,Uncommon,215,68,36,49.73
166,Sling,Diamond,Divine,352,69,186,49.31
167,Whip,Mythril,Legendary,375,73,192,17.8
168,Bazooka,Composite,Rare,415,10,23,11.89
169,Machine Gun,Plastic,Epic,425,29,272,29.86
170,Shotgun,Obsidian,Uncommon,455,4,211,31.41
171,Rocket Launcher,Obsidian,Divine,405,93,150,15.29
172,Sword,Titanium,Rare,268,43,22,17.45
173,Rifle,Plastic,Divine,455,96,263,0.68
174,Throwing Star,Bronze,Mythical,185,37,251,31.22
175,Sword,Titanium,Common,385,11,218,3.12
176,Grenade Launcher,Titanium,Ancient,335,66,122,36.93
177,Laser Gun,Wood,Ancient,291,85,90,18.54
178,Rifle,Magnesium Alloy,Mythical,328,98,10,30.2
179,Bazooka,Diamond,Uncommon,465,24,107,31.9
180,Scythe,Diamond,Rare,48,12,92,39.97
181,Hammer,Composite,Legendary,164,32,253,13.92
182,Sword,Silver,Epic,312,78,69,32.04
183,Shotgun,Titanium,Common,415,61,160,31.36
184,Crossbow,Graphene,Rare,66,18,23,44.08
185,Grenade Launcher,Gold,Mythical,318,10,42,25.89
186,Whip,Reinforced Concrete,Mythical,378,16,141,30.85
187,Axe,Composite,Common,405,41,115,6.79
188,Sniper Rifle,Steel,Common,385,75,37,20.15
189,Bazooka,Plastic,Divine,455,96,207,48.17
190,Staff,Obsidian,Legendary,72,52,188,31.23
191,Blowgun,Bronze,Rare,415,22,246,45.2
192,Flail,Titanium,Divine,385,47,58,35.99
193,Axe,Magnesium Alloy,Epic,258,49,81,10.24
194,Machine Gun,Reinforced Concrete,Uncommon,415,85,30,47.33
195,Rocket Launcher,Adamantium,Legendary,128,20,207,14.02
196,Spear,Wood,Divine,275,97,258,13.77
197,Bow,Bronze,Mythical,185,97,19,32.61
198,Bow,Composite,Ancient,215,15,128,15.03
199,Machine Gun,Plastic,Epic,425,11,95,35.92
200,Pistol,Graphene,Divine,188,97,182,22.76
201,Rifle,Graphene,Epic,185,7,117,45.51
202,Blowgun,Gold,Mythical,265,91,53,13.38
203,Spear,Reinforced Concrete,Divine,355,13,297,43.91
204,Flail,Iron,Divine,185,56,129,1.28
205,Sword,Carbon Fiber,Common,365,69,56,20.77
206,Mace,Diamond,Divine,195,36,263,0.68
207,Spear,Iron,Mythical,318,26,104,30.14
208,Plasma Gun,Wood,Mythical,178,100,141,4.42
209,Mace,Steel,Epic,385,52,59,27.06
210,Grenade Launcher,Adamantium,Ancient,335,47,255,27.41
211,Throwing Star,Magnesium Alloy,Legendary,206,7,82,6.56
212,Rifle,Reinforced Concrete,Legendary,198,86,8,7.49
213,Scythe,Wood,Rare,398,3,75,5.78
214,Dagger,Steel,Uncommon,158,38,44,15.58
215,Whip,Titanium,Uncommon,115,84,99,35.22
216,Dagger,Titanium,Rare,368,36,167,19.26
217,Crossbow,Wood,Mythical,143,77,197,48.58
218,Mace,Reinforced Concrete,Ancient,278,20,10,49.66
219,Staff,Silver,Common,425,65,139,12.36
220,Axe,Iron,Legendary,335,33,231,20.41
221,Flail,Reinforced Concrete,Mythical,219,92,131,27.31
222,Axe,Bronze,Mythical,295,15,145,20.14
223,Bazooka,Mythril,Rare,425,60,26,26.29
224,Grenade Launcher,Iron,Legendary,185,17,76,8.46
225,Bazooka,Iron,Divine,425,93,118,24.32
226,Bazooka,Composite,Common,465,25,16,3.52
227,Bazooka,Diamond,Legendary,385,79,275,33.86
228,Crossbow,Obsidian,Epic,151,27,100,2.13
229,Throwing Star,Bronze,Epic,185,18,198,13.47
230,Crossbow,Reinforced Concrete,Uncommon,130,15,111,9.25
231,Bazooka,Wood,Common,465,15,64,14.15
232,Sling,Magnesium Alloy,Mythical,202,95,49,31.06
233,Rocket Launcher,Reinforced Concrete,Legendary,52,16,66,22.66
234,Pistol,Bronze,Mythical,248,6,32,14.16
235,Mace,Adamantium,Ancient,185,5,61,15.51
236,Sword,Magnesium Alloy,Divine,221,5,106,8.32
237,Shotgun,Steel,Ancient,268,63,194,28.11
238,Rifle,Titanium,Uncommon,122,3,25,13.96
239,Staff,Gold,Epic,398,17,81,10.88
240,Throwing Star,Mythril,Ancient,318,100,78,19.3
241,Rocket Launcher,Reinforced Concrete,Common,415,95,34,35.41
242,Grenade Launcher,Obsidian,Mythical,158,97,275,4.59
243,Pistol,Silver,Epic,172,27,268,35.56
244,Grenade Launcher,Silver,Mythical,298,71,135,39.96
245,Shotgun,Adamantium,Epic,375,90,152,29.24
246,Mace,Obsidian,Legendary,90,17,99,25.5
247,Staff,Gold,Legendary,145,28,73,6.55
248,Rocket Launcher,Bronze,Common,355,55,283,37.57
249,Shotgun,Magnesium Alloy,Epic,415,2,231,18.3
250,Staff,Magnesium Alloy,Common,385,47,246,11.63
251,Dagger,Titanium,Legendary,223,13,95,34.52
252,Staff,Plastic,Legendary,385,31,170,34.34
253,Scythe,Obsidian,Epic,348,64,189,5.47
254,Bazooka,Obsidian,Epic,425,26,210,45.07
255,Flail,Magnesium Alloy,Divine,160,72,201,11.93
256,Bazooka,Composite,Epic,465,16,118,48.19
257,Shotgun,Bronze,Rare,84,61,81,42.84
258,Whip,Carbon Fiber,Rare,315,97,236,6.28
259,Flail,Diamond,Ancient,258,1,111,44.1
260,Rifle,Bronze,Mythical,231,61,120,44.44
261,Bazooka,Plastic,Mythical,415,56,186,1.52
262,Axe,Obsidian,Common,425,13,94,5.59
263,Rifle,Obsidian,Epic,185,91,151,10.22
264,Axe,Steel,Rare,140,5,101,15.04
265,Plasma Gun,Composite,Epic,385,35,251,38.55
266,Dagger,Silver,Mythical,228,8,30,43.16
267,Throwing Star,Carbon Fiber,Rare,141,41,72,45.9
268,Grenade Launcher,Carbon Fiber,Common,415,32,4,27.48
269,Whip,Mythril,Uncommon,130,83,166,12.99
270,Scythe,Obsidian,Common,425,93,266,8.34
271,Staff,Obsidian,Legendary,312,70,199,41.7
272,Sword,Obsidian,Ancient,425,47,117,46.64
273,Bazooka,Graphene,Common,425,11,86,48.7
274,Rocket Launcher,Reinforced Concrete,Divine,302,45,38,15.13
275,Laser Gun,Diamond,Divine,155,84,51,1.59
276,Flail,Reinforced Concrete,Divine,218,85,20,4.42
277,Sword,Steel,Epic,385,52,234,47.36
278,Dagger,Gold,Ancient,245,29,271,8.77
279,Grenade Launcher,Composite,Mythical,358,18,65,41.14
280,Bazooka,Graphene,Divine,385,72,236,8.32
281,Staff,Plastic,Common,315,44,198,5.47
282,Scythe,Composite,Epic,103,69,133,37.29
283,Bazooka,Plastic,Divine,385,20,22,3.26
284,Bazooka,Titanium,Mythical,265,47,100,2.88
285,Hammer,Mythril,Common,385,3,294,18.15
286,Sniper Rifle,Titanium,Legendary,71,8,272,24.78
287,Plasma Gun,Composite,Epic,289,89,100,47.86
288,Throwing Star,Iron,Divine,378,17,135,43.76
289,Blowgun,Plastic,Mythical,328,5,217,17.92
290,Laser Gun,Plastic,Rare,398,55,141,3.91
291,Spear,Graphene,Mythical,127,42,83,2.91
292,Flail,Iron,Divine,185,84,163,47.1
293,Rocket Launcher,Plastic,Legendary,86,78,149,5.14
294,Sword,Plastic,Uncommon,395,86,94,8.49
295,Bazooka,Obsidian,Divine,415,67,285,22.59
296,Hammer,Silver,Rare,375,36,195,40.76
297,Blowgun,Diamond,Divine,185,13,247,26.21
298,Shotgun,Titanium,Common,415,57,105,43.06
299,Pistol,Carbon Fiber,Divine,283,76,235,37.82
300,Flail,Steel,Uncommon,44,46,125,16.76
301,Rocket Launcher,Graphene,Legendary,292,15,97,35.01
302,Blowgun,Plastic,Legendary,138,97,199,21.69
303,Machine Gun,Gold,Common,385,7,259,35.4
304,Shotgun,Magnesium Alloy,Divine,255,53,291,32.41
305,Blowgun,Wood,Mythical,280,82,109,38.59
306,Grenade Launcher,Bronze,Legendary,94,82,216,10.43
307,Bazooka,Wood,Common,425,94,14,20.13
308,Spear,Reinforced Concrete,Rare,252,53,44,5.59
309,Crossbow,Mythril,Divine,297,89,208,21.3
310,Grenade Launcher,Silver,Uncommon,381,59,170,25.16
311,Laser Gun,Titanium,Mythical,162,49,216,47.41
312,Crossbow,Diamond,Ancient,74,13,54,7.04
313,Blowgun,Composite,Rare,185,82,242,38.61
314,Bazooka,Reinforced Concrete,Epic,425,99,36,10.51
315,Sniper Rifle,Reinforced Concrete,Legendary,185,89,66,16.86
316,Hammer,Gold,Mythical,305,37,275,14.03
317,Staff,Carbon Fiber,Divine,48,10,162,14.1
318,Blowgun,Steel,Uncommon,185,74,292,36.77
319,Hammer,Adamantium,Divine,335,57,63,3.17
320,Dagger,Composite,Legendary,161,2,171,19.99
321,Bazooka,Bronze,Divine,425,33,168,1.22
322,Throwing Star,Silver,Mythical,162,17,149,30.2
323,Staff,Silver,Mythical,186,8,104,32.17
324,Sniper Rifle,Plastic,Epic,385,11,125,11.96
325,Axe,Reinforced Concrete,Uncommon,425,97,12,11.84
326,Laser Gun,Magnesium Alloy,Uncommon,298,61,275,31.73
327,Crossbow,Gold,Legendary,70,72,91,42.13
328,Rifle,Bronze,Legendary,351,66,118,16.24
329,Whip,Adamantium,Mythical,252,19,1,24.61
330,Spear,Wood,Rare,415,7,49,20.92
331,Hammer,Gold,Common,425,49,111,5.82
332,Blowgun,Silver,Ancient,305,78,79,32.64
333,Flail,Graphene,Legendary,219,26,90,49.33
334,Bow,Titanium,Rare,185,47,266,45.97
335,Laser Gun,Adamantium,Uncommon,185,64,36,10.01
336,Mace,Iron,Rare,185,2,294,18.28
337,Throwing Star,Reinforced Concrete,Ancient,354,17,201,15.43
338,Laser Gun,Silver,Uncommon,198,39,194,17.38
339,Whip,Reinforced Concrete,Mythical,368,59,183,1.65
340,Flail,Adamantium,Rare,295,35,16,9.99
341,Machine Gun,Obsidian,Uncommon,355,46,170,48.29
342,Plasma Gun,Graphene,Common,425,38,212,32.36
343,Sling,Steel,Mythical,149,59,169,34.03
344,Bazooka,Adamantium,Uncommon,398,26,91,35.7
345,Plasma Gun,Composite,Mythical,246,55,281,32.25
346,Pistol,Plastic,Legendary,113,23,52,25.35
347,Laser Gun,Titanium,Rare,148,39,189,41.08
348,Sniper Rifle,Diamond,Uncommon,342,29,223,30.28
349,Shotgun,Obsidian,Divine,398,38,22,38.06
350,Throwing Star,Composite,Ancient,341,93,118,37.13
351,Laser Gun,Mythril,Uncommon,216,76,59,23.55
352,Bow,Carbon Fiber,Rare,348,51,115,0.65
353,Staff,Adamantium,Legendary,408,1,277,0.88
354,Throwing Star,Magnesium Alloy,Epic,403,57,205,29.44
355,Rocket Launcher,Composite,Ancient,278,6,8,16.48
356,Machine Gun,Gold,Ancient,415,82,76,37.83
357,Machine Gun,Graphene,Rare,276,28,19,41.48
358,Flail,Titanium,Ancient,278,93,158,42.71
359,Sniper Rifle,Iron,Uncommon,185,22,4,39.84
360,Hammer,Diamond,Divine,234,51,164,27.62
361,Grenade Launcher,Steel,Divine,415,61,208,3.16
362,Dagger,Plastic,Divine,185,80,237,32.97
363,Blowgun,Magnesium Alloy,Ancient,158,8,187,36.44
364,Sling,Magnesium Alloy,Ancient,418,85,270,9.13
365,Laser Gun,Composite,Epic,401,69,107,44.88
366,Axe,Carbon Fiber,Mythical,266,87,126,43.51
367,Plasma Gun,Diamond,Rare,178,17,54,29.06
368,Pistol,Composite,Divine,221,90,74,49.01
369,Dagger,Wood,Legendary,408,79,163,36.66
370,Plasma Gun,Iron,Legendary,114,85,255,9.14
371,Scythe,Reinforced Concrete,Ancient,185,58,280,49.03
372,Spear,Wood,Legendary,415,85,285,36.07
373,Sword,Titanium,Ancient,165,4,80,30.12
374,Flail,Composite,Ancient,370,20,136,45.32
375,Laser Gun,Plastic,Common,415,39,155,10.58
376,Hammer,Iron,Divine,345,86,124,14.51
377,Staff,Diamond,Ancient,185,20,200,23.09
378,Sniper Rifle,Magnesium Alloy,Legendary,185,30,285,43.09
379,Throwing Star,Silver,Rare,274,1,137,8.1
380,Shotgun,Mythril,Legendary,203,90,261,37.65
381,Dagger,Carbon Fiber,Rare,348,66,148,31.77
382,Grenade Launcher,Steel,Common,425,94,176,45.66
383,Dagger,Graphene,Legendary,328,59,125,38.0
384,Sling,Graphene,Mythical,330,43,255,44.71
385,Flail,Composite,Common,385,2,260,43.1
386,Laser Gun,Wood,Rare,185,72,74,46.82
387,Pistol,Diamond,Legendary,209,11,250,31.59
388,Crossbow,Wood,Rare,302,49,115,9.58
389,Plasma Gun,Graphene,Rare,185,39,22,12.56
390,Blowgun,Obsidian,Ancient,358,19,168,16.61
391,Crossbow,Bronze,Rare,211,5,17,1.23
392,Flail,Wood,Ancient,206,37,177,12.3
393,Rocket Launcher,Reinforced Concrete,Ancient,185,98,224,4.14
394,Axe,Adamantium,Rare,84,35,24,15.75
395,Mace,Gold,Rare,175,44,87,30.26
396,Axe,Composite,Rare,398,60,297,25.87
397,Hammer,Carbon Fiber,Common,415,2,100,38.15
398,Throwing Star,Wood,Epic,289,80,240,16.22
399,Laser Gun,Composite,Divine,185,44,263,47.9
400,Dagger,Steel,Mythical,147,61,228,11.68
401,Sniper Rifle,Wood,Divine,371,4,197,25.05
402,Blowgun,Gold,Uncommon,332,14,92,49.27
403,Bow,Graphene,Rare,330,43,108,10.98
404,Spear,Graphene,Uncommon,142,47,122,49.95
405,Scythe,Wood,Uncommon,265,45,19,33.37
406,Bow,Reinforced Concrete,Legendary,246,26,123,31.08
407,Dagger,Reinforced Concrete,Rare,182,90,189,1.09
408,Grenade Launcher,Carbon Fiber,Mythical,185,84,183,6.71
409,Sling,Steel,Uncommon,185,45,135,10.67
410,Sword,Steel,Legendary,418,3,113,24.66
411,Bow,Iron,Uncommon,374,91,288,38.59
412,Plasma Gun,Graphene,Legendary,185,36,279,17.05
413,Hammer,Plastic,Rare,398,6,296,1.29
414,Axe,Titanium,Epic,381,100,174,17.99
415,Pistol,Adamantium,Mythical,402,31,260,46.36
416,Sniper Rifle,Diamond,Epic,325,40,156,20.4
417,Shotgun,Magnesium Alloy,Divine,175,22,163,1.83
418,Throwing Star,Steel,Legendary,405,26,258,23.97
419,Dagger,Diamond,Epic,410,75,25,39.73
420,Sword,Bronze,Divine,185,9,199,11.44
421,Sword,Steel,Epic,368,81,34,37.87
422,Mace,Obsidian,Uncommon,385,51,51,23.72
423,Sniper Rifle,Carbon Fiber,Divine,280,91,210,2.7
424,Bow,Reinforced Concrete,Common,415,72,92,46.55
425,Sword,Steel,Divine,271,50,213,5.8
426,Throwing Star,Gold,Rare,142,90,91,20.26
427,Shotgun,Gold,Mythical,390,87,263,40.22
428,Sniper Rifle,Adamantium,Uncommon,187,2,112,30.01
429,Rifle,Steel,Common,415,35,241,38.46
430,Machine Gun,Silver,Rare,159,54,49,3.03
431,Machine Gun,Diamond,Ancient,291,70,236,49.06
432,Sword,Iron,Divine,175,15,222,3.23
433,Rocket Launcher,Reinforced Concrete,Epic,237,14,32,11.82
434,Flail,Bronze,Rare,185,33,11,48.42
435,Pistol,Bronze,Mythical,229,16,293,42.03
436,Spear,Bronze,Uncommon,254,71,194,36.32
437,Axe,Bronze,Ancient,185,99,121,26.1
438,Grenade Launcher,Obsidian,Uncommon,185,24,223,14.29
439,Spear,Carbon Fiber,Ancient,356,4,124,19.15
440,Machine Gun,Steel,Common,415,30,231,45.84
441,Sling,Magnesium Alloy,Rare,119,57,97,6.39
442,Scythe,Gold,Legendary,144,42,166,31.33
443,Axe,Bronze,Mythical,170,85,148,4.42
444,Rocket Launcher,Obsidian,Ancient,216,29,170,27.02
445,Bow,Mythril,Legendary,185,64,33,32.96
446,Rifle,Titanium,Mythical,239,30,70,39.9
447,Rifle,Iron,Divine,192,78,162,41.91
448,Whip,Silver,Common,385,37,213,13.36
449,Sling,Wood,Uncommon,265,47,87,34.33
450,Bazooka,Obsidian,Legendary,285,33,280,42.51
451,Rifle,Steel,Common,415,7,166,48.19
452,Throwing Star,Composite,Epic,185,75,115,19.09
453,Sling,Composite,Legendary,219,45,22,29.14
454,Machine Gun,Composite,Rare,324,27,172,45.29
455,Staff,Gold,Rare,415,47,9,49.11
456,Laser Gun,Magnesium Alloy,Rare,355,36,110,35.87
457,Sniper Rifle,Magnesium Alloy,Legendary,247,33,277,49.44
458,Spear,Reinforced Concrete,Epic,214,19,250,21.2
459,Rifle,Obsidian,Epic,281,58,19,8.75
460,Hammer,Wood,Uncommon,425,30,40,20.83
461,Staff,Obsidian,Epic,160,18,51,13.22
462,Flail,Mythril,Epic,348,86,157,15.27
463,Sling,Graphene,Legendary,264,55,45,0.98
464,Sling,Magnesium Alloy,Divine,185,75,80,14.45
465,Sword,Carbon Fiber,Divine,352,32,62,2.39
466,Throwing Star,Plastic,Legendary,418,62,224,2.55
467,Rifle,Magnesium Alloy,Divine,185,12,180,23.48
468,Throwing Star,Adamantium,Ancient,185,1,50,24.49
469,Sling,Steel,Legendary,185,24,170,16.2
470,Machine Gun,Magnesium Alloy,Epic,398,33,170,39.02
471,Sling,Wood,Common,315,37,280,37.13
472,Rifle,Diamond,Ancient,227,61,255,45.44
473,Grenade Launcher,Gold,Uncommon,318,8,151,41.84
474,Mace,Graphene,Ancient,352,64,147,35.65
475,Staff,Titanium,Ancient,186,55,1,11.91
476,Rifle,Silver,Divine,128,14,228,41.23
477,Shotgun,Composite,Epic,149,32,75,20.76
478,Hammer,Gold,Divine,412,90,189,18.57
479,Sniper Rifle,Magnesium Alloy,Common,415,71,235,46.56
480,Laser Gun,Bronze,Common,415,31,94,6.71
481,Staff,Gold,Legendary,130,95,122,12.35
482,Scythe,Steel,Epic,314,71,164,48.85
483,Bazooka,Gold,Divine,415,20,212,19.94
484,Sling,Carbon Fiber,Rare,294,44,220,25.2
485,Staff,Diamond,Ancient,185,98,291,31.75
486,Grenade Launcher,Obsidian,Ancient,222,44,65,43.22
487,Scythe,Reinforced Concrete,Rare,261,86,65,15.01
488,Scythe,Adamantium,Epic,392,3,295,18.13
489,Scythe,Plastic,Ancient,375,12,81,20.1
490,Whip,Diamond,Ancient,210,48,88,8.0
491,Hammer,Composite,Common,401,59,213,42.87
492,Rifle,Silver,Uncommon,173,36,60,38.68
493,Flail,Steel,Legendary,128,15,188,6.01
494,Axe,Diamond,Rare,198,55,35,27.86
495,Flail,Diamond,Rare,198,84,279,35.51
496,Blowgun,Plastic,Uncommon,415,98,282,8.54
497,Hammer,Diamond,Legendary,296,37,158,32.09
498,Sword,Gold,Mythical,122,81,218,29.02
499,Scythe,Composite,Epic,236,74,56,20.27
500,Axe,Plastic,Uncommon,385,58,56,30.05
501,Throwing Star,Silver,Common,388,35,219,46.87
502,Staff,Mythril,Common,145,35,243,36.8
